ruleset,ruleset_short,iteration,training_games,training_elapsed_seconds,cumulative_decisions,cumulative_optimizer_steps,evaluated_repetitions,diagnostic_games,wins,losses,win_rate_percent,ci95_low_percent,ci95_high_percent,diagnostic_seconds
double-three,D3,18,36000,28.277810000000002,55152.0,1728.0,1,10000,5160.0,4840.0,51.6,50.62007536361528,52.57869579645587,1.1371424198150635
double-three,D3,19,38000,29.872230000000002,58229.0,1824.0,1,10000,5153.0,4847.0,51.53,50.55005930458116,52.508765617236875,1.2237861156463623
double-three,D3,20,40000,31.42335,61216.0,1920.0,1,10000,5168.0,4832.0,51.68000000000001,50.70009607107272,52.658613647001985,1.1676220893859863
double-three,D3,21,42000,32.971540000000005,64221.0,2016.0,1,10000,5186.0,4814.0,51.85999999999999,50.880151846549474,52.838419627033225,1.1592693328857422
double-three,D3,22,44000,34.53035,67265.0,2112.0,1,10000,5204.0,4796.0,52.04,51.0602203419367,53.018212887154014,1.2147927284240723
double-three,D3,23,46000,36.190655,70362.0,2208.0,1,10000,5213.0,4787.0,52.129999999999995,51.15025936125377,53.108104745590936,1.1513195037841797
double-three,D3,24,48000,37.77398,73411.0,2304.0,1,10000,5205.0,4795.0,52.05,51.070224520301736,53.028201028539414,1.2170896530151367
double-three,D3,25,50000,39.311565,76455.0,2400.0,1,10000,5203.0,4797.0,52.03,51.05021620284707,53.0082247064932,1.174699068069458
double-three,D3,26,52000,40.884945,79521.0,2496.0,1,10000,5215.0,4785.0,52.15,51.17026846431458,53.12808028203102,1.1595308780670166
double-three,D3,27,54000,42.466935,82547.0,2592.0,1,10000,5209.0,4791.0,52.09,51.11024162653543,53.068153201307524,1.212073802947998
double-three,D3,28,56000,44.035155,85569.0,2688.0,1,10000,5216.0,4784.0,52.16,51.18027307477391,53.138067991322124,1.1666111946105957
double-three,D3,29,58000,45.57289,88621.0,2784.0,1,10000,5210.0,4790.0,52.1,51.1202460012921,53.07814114630127,1.147355079650879
double-three,D3,30,60000,47.111825,91671.0,2880.0,1,10000,5225.0,4775.0,52.25,51.270316336960455,53.22795560688959,1.207056999206543
double-four,D4,0,0,0.0,0.0,0.0,1,10000,4940.0,5060.0,49.4,48.42048911356669,50.379971701406625,2.448251247406006
double-four,D4,1,2000,3.080755,4553.0,144.0,1,10000,4949.0,5051.0,49.49,48.51043498210815,50.46995671061916,2.4471020698547363
double-four,D4,2,4000,5.609640000000001,9117.0,288.0,1,10000,4947.0,5053.0,49.47,48.490446737029984,50.44996031619644,2.5177671909332275
double-four,D4,3,6000,8.196105,13568.0,432.0,1,10000,4958.0,5042.0,49.58,48.600384024518505,50.559938545962815,2.4599270820617676
double-four,D4,4,8000,10.742625,18072.0,576.0,1,10000,4966.0,5034.0,49.66,48.68034139323627,50.6399197352486,2.505061149597168
double-four,D4,5,10000,13.283545,22513.0,720.0,1,10000,4977.0,5023.0,49.769999999999996,48.79028686953497,50.749889776204796,2.5067057609558105
double-four,D4,6,12000,15.90372,27079.0,864.0,1,10000,4986.0,5014.0,49.86,48.880245785323886,50.839861738169866,2.4653127193450928
double-four,D4,7,14000,18.530445,31495.0,1008.0,1,10000,4985.0,5015.0,49.85,48.87025019352368,50.829865010219635,2.4986069202423096
double-four,D4,8,16000,21.12192,35973.0,1152.0,1,10000,5000.0,5000.0,50.0,49.0201881841821,50.97981181581789,2.457793712615967
double-four,D4,9,18000,23.76098,40439.0,1296.0,1,10000,4992.0,5008.0,49.919999999999995,48.94022015885864,50.89984128313779,2.445194959640503
double-four,D4,10,20000,26.41728,44863.0,1440.0,1,10000,5015.0,4985.0,50.14999999999999,49.17013498978036,51.12974980647631,2.5552117824554443
