execucao,arquitetura,lr,partidas,iteracoes,horas,vitoria_pct,ic95_baixo_pct,ic95_alto_pct
bucket_heuristic,anterior,0.001,16500000,8250,4.163,66.019,65.725,66.312
bucket_heuristic,anterior,0.001,16600000,8300,4.188,66.05,65.756,66.343
bucket_heuristic,anterior,0.001,16700000,8350,4.213,65.956,65.662,66.249
bucket_heuristic,anterior,0.001,16800000,8400,4.238,66.083,65.789,66.376
bucket_heuristic,anterior,0.001,16900000,8450,4.263,66.043,65.749,66.336
bucket_heuristic,anterior,0.001,17000000,8500,4.288,66.075,65.781,66.368
bucket_heuristic,anterior,0.001,17100000,8550,4.313,65.938,65.644,66.231
bucket_heuristic,anterior,0.001,17200000,8600,4.338,65.969,65.675,66.262
bucket_heuristic,anterior,0.001,17300000,8650,4.363,65.932,65.638,66.225
bucket_heuristic,anterior,0.001,17400000,8700,4.388,65.804,65.509,66.097
bucket_heuristic,anterior,0.001,17500000,8750,4.413,65.943,65.649,66.236
bucket_heuristic,anterior,0.001,17600000,8800,4.438,65.89,65.596,66.183
bucket_heuristic,anterior,0.001,17700000,8850,4.463,65.981,65.687,66.274
bucket_heuristic,anterior,0.001,17800000,8900,4.488,65.902,65.608,66.195
bucket_heuristic,anterior,0.001,17900000,8950,4.513,66.099,65.805,66.392
bucket_heuristic,anterior,0.001,18000000,9000,4.538,65.851,65.556,66.144
bucket_heuristic,anterior,0.001,18100000,9050,4.563,66.063,65.769,66.356
bucket_heuristic,anterior,0.001,18200000,9100,4.588,65.985,65.691,66.278
bucket_heuristic,anterior,0.001,18300000,9150,4.613,66.065,65.771,66.358
bucket_heuristic,anterior,0.001,18400000,9200,4.638,66.044,65.75,66.337
bucket_heuristic,anterior,0.001,18500000,9250,4.663,66.228,65.934,66.52
bucket_heuristic,anterior,0.001,18600000,9300,4.688,66.015,65.721,66.308
bucket_heuristic,anterior,0.001,18700000,9350,4.713,66.057,65.763,66.35
bucket_heuristic,anterior,0.001,18800000,9400,4.738,66.078,65.784,66.371
bucket_heuristic,anterior,0.001,18900000,9450,4.763,65.94,65.646,66.233
bucket_heuristic,anterior,0.001,19000000,9500,4.788,66.114,65.82,66.407
bucket_heuristic,anterior,0.001,19100000,9550,4.813,65.891,65.597,66.184
bucket_heuristic,anterior,0.001,19200000,9600,4.838,65.791,65.496,66.084
bucket_heuristic,anterior,0.001,19300000,9650,4.863,65.801,65.506,66.094
bucket_heuristic,anterior,0.001,19400000,9700,4.888,65.956,65.662,66.249
bucket_heuristic,anterior,0.001,19500000,9750,4.913,65.973,65.679,66.266
bucket_heuristic,anterior,0.001,19600000,9800,4.938,65.781,65.486,66.074
bucket_heuristic,anterior,0.001,19700000,9850,4.963,65.864,65.57,66.157
bucket_heuristic,anterior,0.001,19800000,9900,4.988,66.072,65.778,66.365
bucket_heuristic,anterior,0.001,19900000,9950,5.013,66.073,65.779,66.366
bucket_heuristic,anterior,0.001,20000000,10000,5.037,66.041,65.747,66.334
bucket_heuristic,anterior,0.001,20100000,10050,5.062,66.092,65.798,66.385
bucket_heuristic,anterior,0.001,20200000,10100,5.087,65.94,65.646,66.233
bucket_heuristic,anterior,0.001,20300000,10150,5.112,65.83,65.535,66.123
bucket_heuristic,anterior,0.001,20400000,10200,5.137,65.895,65.601,66.188
bucket_heuristic,anterior,0.001,20500000,10250,5.162,65.917,65.623,66.21
bucket_heuristic,anterior,0.001,20600000,10300,5.187,66.028,65.734,66.321
bucket_heuristic,anterior,0.001,20700000,10350,5.212,66.018,65.724,66.311
bucket_heuristic,anterior,0.001,20800000,10400,5.237,65.757,65.462,66.051
bucket_heuristic,anterior,0.001,20900000,10450,5.262,66.024,65.73,66.317
bucket_heuristic,anterior,0.001,21000000,10500,5.287,66.117,65.823,66.41
bucket_heuristic,anterior,0.001,21100000,10550,5.312,66.066,65.772,66.359
bucket_heuristic,anterior,0.001,21200000,10600,5.337,65.958,65.664,66.251
bucket_heuristic,anterior,0.001,21300000,10650,5.362,66.014,65.72,66.307
bucket_heuristic,anterior,0.001,21400000,10700,5.387,66.04,65.746,66.333
bucket_heuristic,anterior,0.001,21500000,10750,5.412,66.2,65.906,66.493
bucket_heuristic,anterior,0.001,21600000,10800,5.437,66.375,66.082,66.667
bucket_heuristic,anterior,0.001,21700000,10850,5.462,66.359,66.066,66.651
bucket_heuristic,anterior,0.001,21800000,10900,5.487,66.145,65.851,66.438
bucket_heuristic,anterior,0.001,21900000,10950,5.512,66.001,65.707,66.294
bucket_heuristic,anterior,0.001,22000000,11000,5.537,66.073,65.779,66.366
bucket_heuristic,anterior,0.001,22100000,11050,5.562,66.155,65.861,66.448
bucket_heuristic,anterior,0.001,22200000,11100,5.587,65.964,65.67,66.257
bucket_heuristic,anterior,0.001,22300000,11150,5.613,66.113,65.819,66.406
bucket_heuristic,anterior,0.001,22400000,11200,5.638,66.158,65.864,66.451
bucket_heuristic,anterior,0.001,22500000,11250,5.663,66.158,65.864,66.451
bucket_heuristic,anterior,0.001,22600000,11300,5.688,66.016,65.722,66.309
bucket_heuristic,anterior,0.001,22700000,11350,5.713,66.034,65.74,66.327
bucket_heuristic,anterior,0.001,22800000,11400,5.738,66.336,66.042,66.628
bucket_heuristic,anterior,0.001,22900000,11450,5.763,66.199,65.905,66.492
bucket_heuristic,anterior,0.001,23000000,11500,5.788,66.213,65.919,66.506
bucket_heuristic,anterior,0.001,23100000,11550,5.813,65.967,65.673,66.26
bucket_heuristic,anterior,0.001,23200000,11600,5.838,66.142,65.848,66.435
bucket_heuristic,anterior,0.001,23300000,11650,5.863,66.188,65.894,66.481
bucket_heuristic,anterior,0.001,23400000,11700,5.888,66.071,65.777,66.364
bucket_heuristic,anterior,0.001,23500000,11750,5.913,65.926,65.632,66.219
bucket_heuristic,anterior,0.001,23600000,11800,5.938,66.055,65.761,66.348
bucket_heuristic,anterior,0.001,23700000,11850,5.962,66.042,65.748,66.335
bucket_heuristic,anterior,0.001,23800000,11900,5.987,65.995,65.701,66.288
bucket_heuristic,anterior,0.001,23900000,11950,6.013,66.053,65.759,66.346
bucket_heuristic,anterior,0.001,24000000,12000,6.037,66.053,65.759,66.346
bucket_heuristic,anterior,0.001,24100000,12050,6.062,66.086,65.792,66.379
bucket_heuristic,anterior,0.001,24200000,12100,6.087,66.241,65.947,66.533
