corrida,gpi,config,partidas,vitoria_pct,media_movel_5_pct
gpi1000,1000,antiga,6900000,64.881,64.809
gpi1000,1000,antiga,7000000,64.89,64.8528
gpi1000,1000,antiga,7100000,64.633,64.844
gpi1000,1000,antiga,7200000,65.072,64.9004
gpi1000,1000,antiga,7300000,64.698,64.8348
gpi1000,1000,antiga,7400000,64.964,64.8514
gpi1000,1000,antiga,7500000,65.121,64.8976
gpi1000,1000,antiga,7600000,64.91,64.953
gpi1000,1000,antiga,7700000,64.911,64.9208
gpi1000,1000,antiga,7800000,64.955,64.9722
gpi1000,1000,antiga,7900000,65.131,65.0056
gpi1000,1000,antiga,8000000,65.047,64.9908
gpi1000,1000,antiga,8100000,65.119,65.0326
gpi1000,1000,antiga,8200000,65.144,65.0792
gpi1000,1000,antiga,8300000,64.766,65.0414
gpi1000,1000,antiga,8400000,65.189,65.053
gpi1000,1000,antiga,8500000,65.12,65.0676
gpi1000,1000,antiga,8600000,64.79,65.0018
gpi1000,1000,antiga,8700000,64.807,64.9344
gpi1000,1000,antiga,8800000,65.155,65.0122
gpi1000,1000,antiga,8900000,65.244,65.0232
gpi1000,1000,antiga,9000000,64.848,64.9688
gpi1000,1000,antiga,9100000,64.834,64.9776
gpi1000,1000,antiga,9200000,64.975,65.0112
gpi1000,1000,antiga,9300000,65.109,65.002
gpi1000,1000,antiga,9400000,65.477,65.0486
gpi1000,1000,antiga,9500000,65.021,65.0832
gpi1000,1000,antiga,9600000,65.367,65.1898
gpi1000,1000,antiga,9700000,65.034,65.2016
gpi1000,1000,antiga,9800000,64.883,65.1564
gpi1000,1000,antiga,9900000,64.975,65.056
gpi1000,1000,antiga,10000000,64.941,65.04
gpi1000,1000,antiga,10100000,64.989,64.9644
gpi1000,1000,antiga,10200000,65.325,65.0226
gpi1000,1000,antiga,10300000,65.187,65.0834
gpi1000,1000,antiga,10400000,65.188,65.126
gpi1000,1000,antiga,10500000,65.155,65.1688
gpi1000,1000,antiga,10600000,65.18,65.207
gpi1000,1000,antiga,10700000,64.912,65.1244
gpi1000,1000,antiga,10800000,64.846,65.0562
gpi1000,1000,antiga,10900000,64.922,65.003
gpi1000,1000,antiga,11000000,64.91,64.954
gpi1000,1000,antiga,11100000,65.012,64.9204
gpi1000,1000,antiga,11200000,65.038,64.9456
gpi1000,1000,antiga,11300000,64.909,64.9582
gpi1000,1000,antiga,11400000,64.849,64.9436
gpi1000,1000,antiga,11500000,65.015,64.9646
gpi1000,1000,antiga,11600000,65.067,64.9756
gpi1000,1000,antiga,11700000,65.03,64.974
gpi1000,1000,antiga,11800000,65.059,65.004
gpi1000,1000,antiga,11900000,65.162,65.0666
gpi1000,1000,antiga,12000000,65.141,65.0918
gpi1000,1000,antiga,12100000,65.128,65.104
gpi1000,1000,antiga,12200000,65.013,65.1006
gpi1000,1000,antiga,12300000,65.274,65.1436
gpi1000,1000,antiga,12400000,65.308,65.1728
gpi1000,1000,antiga,12500000,65.36,65.2166
gpi1000,1000,antiga,12600000,65.241,65.2392
gpi1000,1000,antiga,12700000,65.108,65.2582
gpi1000,1000,antiga,12800000,65.125,65.2284
gpi1000,1000,antiga,12900000,65.136,65.194
gpi1000,1000,antiga,13000000,65.188,65.1596
gpi1000,1000,antiga,13100000,65.137,65.1388
gpi1000,1000,antiga,13200000,65.388,65.1948
gpi1000,1000,antiga,13300000,65.331,65.236
gpi1000,1000,antiga,13400000,65.256,65.26
gpi1000,1000,antiga,13500000,65.197,65.2618
gpi1000,1000,antiga,13600000,65.272,65.2888
gpi1000,1000,antiga,13700000,65.334,65.278
gpi1000,1000,antiga,13800000,65.339,65.2796
gpi1000,1000,antiga,13900000,65.37,65.3024
gpi1000,1000,antiga,14000000,65.389,65.3408
gpi1000,1000,antiga,14100000,65.13,65.3124
gpi1000,1000,antiga,14200000,65.136,65.2728
gpi1000,1000,antiga,14300000,65.299,65.2648
gpi1000,1000,antiga,14400000,65.044,65.1996
gpi1000,1000,antiga,14500000,65.327,65.1872
gpi1000,1000,antiga,14600000,65.346,65.2304
gpi1000,1000,antiga,14700000,65.287,65.2606
gpi1000,1000,antiga,14800000,65.399,65.2806
gpi1000,1000,antiga,14900000,65.392,65.3502
gpi1000,1000,antiga,15000000,65.341,65.353
gpi1000,1000,antiga,15100000,65.102,65.3042
gpi1000,1000,antiga,15200000,65.506,65.348
gpi1000,1000,antiga,15300000,65.324,65.333
gpi1000,1000,antiga,15400000,65.479,65.3504
gpi1000,1000,antiga,15500000,65.481,65.3784
gpi1000,1000,antiga,15600000,65.411,65.4402
gpi1000,1000,antiga,15700000,65.099,65.3588
gpi1000,1000,antiga,15800000,65.257,65.3454
gpi1000,1000,antiga,15900000,65.303,65.3102
gpi1000,1000,antiga,16000000,65.051,65.2242
gpi1000,1000,antiga,16100000,65.189,65.1798
gpi1000,1000,antiga,16200000,65.031,65.1662
gpi1000,1000,antiga,16300000,65.245,65.1638
gpi1000,1000,antiga,16400000,65.28,65.1592
gpi1000,1000,antiga,16500000,64.967,65.1424
gpi1000,1000,antiga,16600000,64.985,65.1016
gpi1000,1000,antiga,16700000,65.382,65.1718
gpi1000,1000,antiga,16800000,65.33,65.1888
gpi1000,1000,antiga,16900000,65.318,65.1964
gpi1000,1000,antiga,17000000,65.553,65.3136
gpi1000,1000,antiga,17100000,65.129,65.3424
gpi1000,1000,antiga,17200000,65.535,65.373
gpi1000,1000,antiga,17300000,65.173,65.3416
gpi1000,1000,antiga,17400000,65.521,65.3822
gpi1000,1000,antiga,17500000,65.279,65.3274
gpi1000,1000,antiga,17600000,65.14,65.3296
gpi1000,1000,antiga,17700000,65.383,65.2992
gpi1000,1000,antiga,17800000,65.511,65.3668
